2025-11-03 13:47:35,199 INFO    MainThread:9393 [wandb_setup.py:_flush():81] Current SDK version is 0.22.3
2025-11-03 13:47:35,200 INFO    MainThread:9393 [wandb_setup.py:_flush():81] Configure stats pid to 9393
2025-11-03 13:47:35,200 INFO    MainThread:9393 [wandb_setup.py:_flush():81] Loading settings from /Users/arjunprasaath/.config/wandb/settings
2025-11-03 13:47:35,200 INFO    MainThread:9393 [wandb_setup.py:_flush():81] Loading settings from /Users/arjunprasaath/Projects/RL study/RL/wandb/settings
2025-11-03 13:47:35,200 INFO    MainThread:9393 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-11-03 13:47:35,200 INFO    MainThread:9393 [wandb_init.py:setup_run_log_directory():706] Logging user logs to /Users/arjunprasaath/Projects/RL study/RL/wandb/run-20251103_134735-sneo01ch/logs/debug.log
2025-11-03 13:47:35,200 INFO    MainThread:9393 [wandb_init.py:setup_run_log_directory():707] Logging internal logs to /Users/arjunprasaath/Projects/RL study/RL/wandb/run-20251103_134735-sneo01ch/logs/debug-internal.log
2025-11-03 13:47:35,200 INFO    MainThread:9393 [wandb_init.py:init():833] calling init triggers
2025-11-03 13:47:35,200 INFO    MainThread:9393 [wandb_init.py:init():838] wandb.init called with sweep_config: {}
config: {'learning rate': 0.0001, 'total epochs': 50000, 'episodes': 10, '_wandb': {}}
2025-11-03 13:47:35,200 INFO    MainThread:9393 [wandb_init.py:init():881] starting backend
2025-11-03 13:47:36,043 INFO    MainThread:9393 [wandb_init.py:init():884] sending inform_init request
2025-11-03 13:47:36,084 INFO    MainThread:9393 [wandb_init.py:init():892] backend started and connected
2025-11-03 13:47:36,086 INFO    MainThread:9393 [wandb_init.py:init():962] updated telemetry
2025-11-03 13:47:36,104 INFO    MainThread:9393 [wandb_init.py:init():986] communicating run to backend with 90.0 second timeout
2025-11-03 13:47:36,724 INFO    MainThread:9393 [wandb_init.py:init():1033] starting run threads in backend
2025-11-03 13:47:36,778 INFO    MainThread:9393 [wandb_run.py:_console_start():2506] atexit reg
2025-11-03 13:47:36,778 INFO    MainThread:9393 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-11-03 13:47:36,778 INFO    MainThread:9393 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-11-03 13:47:36,778 INFO    MainThread:9393 [wandb_run.py:_redirect():2446] Redirects installed.
2025-11-03 13:47:36,782 INFO    MainThread:9393 [wandb_init.py:init():1073] run started, returning control to user process
2025-11-04 01:15:02,740 INFO    wandb-AsyncioManager-main:9393 [service_client.py:_forward_responses():80] Reached EOF.
2025-11-04 01:15:02,741 INFO    wandb-AsyncioManager-main:9393 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
